country_impact_id,country_key,oil_import_pct,gdp_impact_pct,inflation_risk,stock_market_change_pct,currency_pressure,policy_response,vulnerability,population_millions
1,11,85,-1.8,Very High,-4.2,Severe,Emergency fuel price hike,Critical,240
2,7,85,-1.2,High,-3.1,High,Strategic reserves released; prices frozen,High,1440
3,3,95,-2.0,Very High,-3.8,Severe,University closures to save electricity,Critical,175
4,14,100,-2.5,Very High,-5.0,Severe,Rationing measures introduced,Critical,22
5,10,100,-1.5,High,-2.8,High,Price adjustment; subsidies for transport,High,30
6,4,72,-0.8,Moderate,-2.5,Moderate,Strategic petroleum reserve drawdown,Moderate,1425
7,9,90,-1.3,High,-5.1,High,Fuel subsidies extended,High,124
8,13,92,-1.4,High,-6.0,High,Domestic fuel price caps implemented,High,52
9,15,89,-1.6,Very High,-4.5,Severe,Emergency economic measures,High,86
10,6,65,-0.6,Moderate,-3.5,Low,Energy diversification accelerated,Moderate,84
11,18,45,-0.5,Moderate,-2.9,Low,North Sea production increase planned,Moderate,68
12,17,5,-0.3,Moderate,-2.0,Low,SPR release; shale production ramp-up,Low,340
13,12,0,1.5,Low,-1.2,Low,Red Sea export rerouting,Low,37
14,16,0,0.8,Low,-1.5,Low,Production cuts due to export constraints,Low,10
15,8,0,-8.0,Extreme,-15.0,Extreme,Military retaliation; Hormuz closure,Critical,90
16,2,70,-0.7,High,-3.2,Moderate,Inflation expected near 5%; petrol +$1/L,Moderate,27
17,5,40,-1.5,Very High,-4.0,Severe,Fuel subsidy concerns,High,110
